id,duration(s)
0,45
1661047426.646,43
1661047441.648,36
1661047456.649,40
1661047471.649,78
1661047486.647,40
1661047501.648,32
1661047516.649,37
1661047531.649,36
1661047546.652,46
1661047561.648,46
1661047576.65,34
1661047591.651,37
1661047606.651,39
1661047621.648,38
1661047636.648,37
1661047651.648,37
1661047666.647,40
1661047681.649,32
1661047696.648,35
1661047711.648,39
1661047726.648,36
1661047741.651,47
1661047756.648,46
1661047771.648,40
1661047786.651,46
1661047801.648,34
1661047816.649,43
1661047831.649,31
1661047846.647,43
1661047861.646,50
1661047876.647,37
1661047891.653,36
1661047906.647,39
1661047921.648,34
1661047936.646,40
1661047951.65,36
1661047966.654,52
1661047981.654,43
1661047996.658,47
1661048011.654,25
1661048026.648,38
1661048041.654,38
1661048056.648,42
1661048071.655,31
1661048086.649,36
1661048101.655,39
1661048116.654,49
1661048131.649,41
1661048146.65,30
1661048161.654,47
1661048176.648,47
1661048191.649,36
1661048206.653,40
1661048221.656,36
1661048236.652,44
1661048251.647,39
1661048266.654,35
1661048281.649,34
1661048296.654,40
1661048311.652,42
1661048326.652,28
1661048341.654,37
1661048356.654,34
1661048371.651,30
1661048386.65,42
1661048401.651,44
1661048416.648,42
1661048431.649,29
1661048446.651,32
1661048461.65,29
1661048476.653,41
1661048491.651,42
1661048506.652,40
1661048521.65,35
1661048536.657,40
1661048551.65,31
1661048566.659,32
1661048581.657,34
1661048596.65,38
1661048611.651,41
1661048626.654,52
1661048641.652,37
1661048656.652,38
1661048671.652,19
